trade_id,date,direction,window,entry,sl,tp,lot,exit_price,exit_reason,pnl,rr_achieved,duration_m,entry_time,exit_time,sweep_level,fvg_top,fvg_bottom,h4_bias,be_triggered
22,2026-01-22,LONG,ASIAN_SWEEP_WINDOW,4793.58,4793.58,4818.66,0.1,4818.66,TP,250.8,7.99,77798,2026-01-22 12:45 NPT,2026-01-22 13:35 NPT,4772.34,4793.71,4793.44,BULLISH,True
23,2026-01-23,LONG,ASIAN_SWEEP_WINDOW,4954.81,4954.81,4965.82,0.1,4965.82,TP,110.1,3.0,78903,2026-01-23 12:45 NPT,2026-01-23 13:30 NPT,4930.64,4955.48,4954.14,BULLISH,True
24,2026-01-23,LONG,NY_PM_SILVER_BULLET,4960.96,4960.96,4970.84,0.1,4970.84,TP,98.8,2.99,79447,2026-01-23 23:55 NPT,2026-01-24 00:00 NPT,4930.64,4961.25,4960.66,BULLISH,True
25,2026-01-27,LONG,ASIAN_SWEEP_WINDOW,5068.11,5068.11,5102.35,0.1,5068.11,BE,0.0,0.0,81078,2026-01-27 13:25 NPT,2026-01-27 19:35 NPT,5010.27,5069.39,5066.83,BULLISH,True
26,2026-01-28,LONG,ASIAN_SWEEP_WINDOW,5241.35,5241.35,5253.34,0.1,5253.34,TP,119.9,3.01,82223,2026-01-28 12:45 NPT,2026-01-28 12:50 NPT,5157.31,5242.35,5240.36,BULLISH,True
27,2026-01-29,LONG,NY_PM_SILVER_BULLET,5211.34,5211.34,5341.42,0.1,5341.42,TP,1300.8,8.0,83850,2026-01-29 23:55 NPT,2026-01-30 01:05 NPT,5157.31,5224.6,5198.08,BULLISH,True
28,2026-01-30,LONG,NY_AM_SILVER_BULLET,5123.24,5117.24,5171.29,0.1,5117.24,SL,-60.0,1.0,84770,2026-01-30 19:50 NPT,2026-01-30 20:00 NPT,5112.34,5126.25,5120.24,BULLISH,False
29,2026-02-02,LONG,NY_AM_SILVER_BULLET,4783.91,4779.71,4817.51,0.1,4779.71,SL,-42.0,1.0,85911,2026-02-02 20:35 NPT,2026-02-02 20:40 NPT,4584.54,4785.11,4782.71,BULLISH,False
30,2026-02-02,LONG,NY_PM_SILVER_BULLET,4656.94,4656.94,4767.78,0.1,4656.94,BE,0.0,0.0,86061,2026-02-03 00:00 NPT,2026-02-03 01:15 NPT,4584.54,4667.8,4646.09,BULLISH,True
31,2026-02-03,LONG,ASIAN_SWEEP_WINDOW,4804.22,4804.22,4858.46,0.1,4858.46,TP,542.4,8.0,86624,2026-02-03 12:45 NPT,2026-02-03 14:05 NPT,4658.6,4808.0,4800.44,BULLISH,True
32,2026-02-04,LONG,ASIAN_SWEEP_WINDOW,5074.84,5074.84,5089.39,0.1,5074.84,BE,0.0,0.0,87738,2026-02-04 12:45 NPT,2026-02-04 13:15 NPT,4910.22,5076.69,5072.99,BULLISH,True
33,2026-02-26,LONG,ASIAN_SWEEP_WINDOW,5195.6,5191.62,5217.8,0.1,5191.62,SL,-39.8,1.0,105299,2026-02-26 13:05 NPT,2026-02-26 13:30 NPT,5155.58,5196.58,5194.62,BULLISH,False
34,2026-02-26,LONG,NY_PM_SILVER_BULLET,5178.87,5173.71,5217.8,0.1,5173.71,SL,-51.6,1.0,105814,2026-02-26 23:45 NPT,2026-02-26 23:55 NPT,5155.58,5181.03,5176.71,BULLISH,False
35,2026-02-27,LONG,ASIAN_SWEEP_WINDOW,5188.27,5188.27,5205.65,0.1,5188.27,BE,0.0,0.0,106188,2026-02-27 13:15 NPT,2026-02-27 14:35 NPT,5173.06,5189.01,5187.52,BULLISH,True
36,2026-02-27,LONG,NY_AM_SILVER_BULLET,5182.02,5182.02,5205.65,0.1,5205.65,TP,236.3,6.81,106503,2026-02-27 19:45 NPT,2026-02-27 20:50 NPT,5173.06,5182.5,5181.55,BULLISH,True
37,2026-04-01,LONG,ASIAN_SWEEP_WINDOW,4674.73,4674.73,4685.67,0.1,4685.67,TP,109.4,3.52,131370,2026-04-01 13:30 NPT,2026-04-01 14:00 NPT,4661.63,4674.83,4674.62,BULLISH,True
38,2026-04-07,LONG,NY_PM_SILVER_BULLET,4637.38,4637.38,4689.11,0.1,4665.32,EOD,279.4,4.33,135008,2026-04-08 00:05 NPT,2026-04-08 03:45 NPT,4616.23,4640.85,4633.92,BULLISH,True
39,2026-04-08,LONG,ASIAN_SWEEP_WINDOW,4797.75,4797.75,4815.84,0.1,4815.84,TP,180.9,3.0,135582,2026-04-08 13:20 NPT,2026-04-08 14:10 NPT,4705.71,4800.78,4794.72,BULLISH,True
40,2026-04-10,LONG,NY_AM_SILVER_BULLET,4757.3,4757.3,4785.3,0.1,4785.3,TP,280.0,8.0,137998,2026-04-10 20:10 NPT,2026-04-10 23:00 NPT,4737.84,4757.8,4756.8,BULLISH,True
41,2026-04-10,LONG,NY_PM_SILVER_BULLET,4779.1,4775.96,4801.22,0.1,4775.96,SL,-31.4,1.0,138214,2026-04-11 00:00 NPT,2026-04-11 00:10 NPT,4737.84,4779.25,4778.96,BULLISH,False
